"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_GH"
"2017-06-24","7:45","3","16"
"2017-06-24","8:0","4","100"
"2017-06-24","8:15","4","119"
"2017-06-24","8:30","4","36"
"2017-06-24","8:45","4","0"
"2017-06-24","9:0","4","0"
"2017-06-24","9:15","4","23"
"2017-06-24","9:30","3","0"
"2017-06-24","9:45","3","13"
"2017-06-25","0:0","0","0"
"2017-06-25","0:15","0","0"
"2017-06-25","0:30","0","0"
"2017-06-25","0:45","0","0"
"2017-06-25","10:0","2","0"
"2017-06-25","10:15","2","0"
"2017-06-25","10:30","1","0"
"2017-06-25","10:45","1","0"
"2017-06-25","11:0","1","0"
"2017-06-25","11:15","1","0"
"2017-06-25","11:30","1","2"
"2017-06-25","11:45","1","5"
"2017-06-25","12:0","1","36"
"2017-06-25","12:15","1","0"
"2017-06-25","12:30","1","0"
"2017-06-25","12:45","1","0"
"2017-06-25","13:0","1","0"
"2017-06-25","13:15","1","5"
"2017-06-25","13:30","1","62"
"2017-06-25","13:45","1","0"
"2017-06-25","14:0","1","0"
"2017-06-25","14:15","1","7"
"2017-06-25","14:30","1","0"
"2017-06-25","14:45","1","0"
"2017-06-25","15:0","1","0"
"2017-06-25","15:15","1","1"
"2017-06-25","15:30","1","0"
"2017-06-25","15:45","1","0"
"2017-06-25","16:0","1","0"
"2017-06-25","16:15","1","0"
"2017-06-25","16:30","1","0"
"2017-06-25","16:45","1","1"
"2017-06-25","17:0","1","0"
"2017-06-25","17:15","1","6"
"2017-06-25","17:30","1","18"
"2017-06-25","17:45","1","3"
"2017-06-25","18:0","1","0"
"2017-06-25","18:15","1","0"
"2017-06-25","18:30","1","0"
"2017-06-25","18:45","1","0"
"2017-06-25","19:0","1","0"
